mots,occurrences
franc,15
france,11
euro,8
année,8
confianc,6
confiance,5
grand,5
faire,5
prise,5
jeune,5
compatriote,4
pays,4
europe,4
social,4
donner,4
entreprise,4
droit,4
rendre,4
capable,4
plan,4
nation,4
soir,3
enfant,3
face,3
chômage,3
prendre,3
devoir,3
demain,3
travail,3
sens,3
lutte,3
engager,3
adopter,3
mois,3
prochain,3
commun,3
rassembler,3
planète,3
message,2
volonté,2
inquiéter,2
avenir,2
économique,2
responsabilité,2
trouver,2
cherche,2
priorité,2
avancer,2
preuve,2
audac,2
écarter,2
choix,2
gouvernement,2
fermement,2
annoncer,2
aller,2
réforme,2
janvier,2
compte,2
essentiel,2
libérer,2
initiative,2
casser,2
protéger,2
société,2
former,2
cause,2
réunir,2
pouvoir,2
combat,2
zone,2
menace,2
abandon,2
histoire,2
national,2
conférence,2
entier,2
préserver,2
fier,2
rencontrer,1
mesure,1
jour,1
exclusion,1
finir,1
dénigrement,1
découragement,1
puissance,1
paix,1
menacer,1
intervention,1
soldat,1
afrique,1
irak,1
saluer,1
honneur,1
drapeau,1
inlassablement,1
solution,1
conflit,1
ukrain,1
impliquer,1
personnellement,1
orient,1
porter,1
croissance,1
investissement,1
milliard,1
lancer,1
européen,1
reconnaître,1
innovation,1
talent,1
entrepreneur,1
créateur,1
chercheur,1
honorer,1
prix,1
nobel,1
condition,1
statu,1
régression,1
républiqu,1
modèle,1
nostalgi,1
espéranc,1
entreprendre,1
préparer,1
croire,1
persévérance,1
constance,1
durée,1
rude,1
jalonner,1
épreuve,1
tenir,1
suivre,1
fixer,1
pacte,1
début,1
matin,1
travailleur,1
indépendant,1
charge,1
baisser,1
cotisation,1
patronal,1
salarier,1
smic,1
embaucher,1
investir,1
mot,1
obligation,1
long,1
achever,1
partir,1
calcul,1
retraite,1
systèm,1
simple,1
concertation,1
partenaire,1
négociation,1
enjeu,1
moderniser,1
territorial,1
abandonner,1
amener,1
désigner,1
élu,1
efficacité,1
transformer,1
ministre,1
economie,1
emmanuel,1
macron,1
rente,1
énergie,1
activité,1
emploi,1
simplifier,1
salarié,1
destiner,1
jeunesse,1
moyen,1
lutter,1
inégalité,1
scolaire,1
professeur,1
mieux,1
lancement,1
numérique,1
école,1
matière,1
utilisation,1
formidable,1
outil,1
connaissance,1
justice,1
fort,1
supprimer,1
tranche,1
impôt,1
revenir,1
moduler,1
fonction,1
ressource,1
accompagnement,1
âgé,1
améliorer,1
accès,1
soin,1
mettre,1
liberté,1
professionnel,1
santé,1
sujet,1
difficile,1
intime,1
mourir,1
dignité,1
parlement,1
consensuelle,1
apaisement,1
souffrance,1
malade,1
bout,1
conservatisme,1
dangereux,1
réussiron,1
figer,1
isolant,1
ecarton,1
discours,1
tromper,1
abuser,1
peuple,1
exister,1
prétendre,1
sortir,1
convaincron,1
redresser,1
propre,1
compétitivité,1
levier,1
stagnation,1
assise,1
démocratique,1
monter,1
appeler,1
terrorisme,1
communautarism,1
fondamentalism,1
diviser,1
stigmatisant,1
religion,1
peur,1
défendre,1
laïcité,1
ordre,1
républicain,1
sécurité,1
femme,1
oublier,1
principer,1
perdre,1
déclin,1
racisme,1
retrouver,1
engagement,1
vertu,1
patrie,1
service,1
civique,1
élargir,1
demande,1
climat,1
décembre,1
etat,1
monde,1
magnifique,1
différence,1
meilleur,1
redonner,1
progrès,1
exemplaire,1
transition,1
voter,1
assemblée,1
biodiversité,1
universel,1
homme,1
entraîner,1
tour,1
déclaration,1
pari,1
succès,1
interroger,1
contribuer,1
métropol,1
vivre,1
étranger,1
action,1
solidarité,1
penser,1
particulier,1
démunir,1
drame,1
produire,1
dernier,1
force,1
vitalité,1
